timestamp,vehicle_count,average_speed,location_coordinates
2022-01-01 09:00:00,57395,45.75371223237747,"17.349855,78.326389"
2022-01-01 09:00:00,33030,26.652980946912066,"17.580393,78.568079"
2022-01-01 09:00:00,8226,48.538995355656425,"17.492879,78.416779"
2022-01-01 09:00:00,67060,40.729703071577454,"17.439529,78.394007"
2022-01-01 09:00:00,63650,37.3712237059359,"17.262421,78.43871"
2022-01-01 09:00:00,57179,30.652975092154385,"17.262412,78.417019"
2022-01-01 09:00:00,42871,28.031201884270885,"17.223236,78.55909"
2022-01-01 09:00:00,29160,36.337761854378,"17.546568,78.578798"
2022-01-01 09:00:00,29066,32.0508425773574,"17.440512,78.391032"
2022-01-01 09:00:00,33971,55.24005192599309,"17.483308,78.559198"
2022-01-01 09:00:00,44550,25.69382667938856,"17.208232,78.534471"
2022-01-01 09:00:00,17540,44.863152920533736,"17.588073,78.579262"
2022-01-02 09:00:00,23325,48.03526406041168,"17.53307,78.373719"
2022-01-02 09:00:00,43939,24.550294294270184,"17.284956,78.473094"
2022-01-02 09:00:00,31596,38.669585723746444,"17.272747,78.382358"
2022-01-02 09:00:00,56781,33.71707972798858,"17.273379,78.547244"
2022-01-02 09:00:00,44316,40.152494409233114,"17.321728,78.301582"
2022-01-02 09:00:00,18339,48.392745992034605,"17.40996,78.469452"
2022-01-02 09:00:00,41622,45.71447836918222,"17.372824,78.401758"
2022-01-02 09:00:00,7891,32.62738220981249,"17.316521,78.396802"
2022-01-02 09:00:00,33943,28.056768468603288,"17.444808,78.493481"
2022-01-02 09:00:00,22980,37.23091944349497,"17.255809,78.555462"
2022-01-02 09:00:00,17624,30.89799726756688,"17.316888,78.482766"
2022-01-03 09:00:00,27684,36.70571607690299,"17.346583,78.555969"
2022-01-03 09:00:00,45156,30.264071908788466,"17.382477,78.379373"
2022-01-03 09:00:00,10729,37.039733933026874,"17.514158,78.455855"
2022-01-03 09:00:00,28723,33.85039809014802,"17.279888,78.435162"
2022-01-03 09:00:00,60740,25.880959336381288,"17.40575,78.303478"
2022-01-03 09:00:00,33580,34.08481637085149,"17.437031,78.467049"
2022-01-03 09:00:00,12566,38.210427651014285,"17.218581,78.498467"
2022-01-04 09:00:00,51790,36.09475587791912,"17.443085,78.477581"
2022-01-04 09:00:00,63426,47.46288704912565,"17.268225,78.520896"
2022-01-04 09:00:00,23356,23.377899078982136,"17.226024,78.471408"
2022-01-04 09:00:00,15625,48.468446038017554,"17.579661,78.320012"
2022-01-04 09:00:00,31117,26.999413999402364,"17.586362,78.334922"
2022-01-04 09:00:00,35523,38.67498252091568,"17.523449,78.478949"
2022-01-04 09:00:00,35844,34.93489040416773,"17.321877,78.382488"
2022-01-04 09:00:00,49005,35.00824604674289,"17.239076,78.323881"
2022-01-04 09:00:00,19128,37.30987872961708,"17.473769,78.428881"
2022-01-04 09:00:00,21416,32.32133582783595,"17.376108,78.466302"
2022-01-04 09:00:00,18254,35.62127382678926,"17.248825,78.398621"
2022-01-05 09:00:00,55747,47.519065231537525,"17.398124,78.516142"
2022-01-05 09:00:00,37529,18.21655346240456,"17.213755,78.49314"
2022-01-05 09:00:00,19861,53.007725188970795,"17.56383,78.399842"
2022-01-05 09:00:00,64720,23.200959231429497,"17.303538,78.526475"
2022-01-05 09:00:00,53724,32.44923506733269,"17.465082,78.494618"
2022-01-05 09:00:00,20728,51.79665179675953,"17.324716,78.491242"
2022-01-05 09:00:00,24853,36.82744267718848,"17.408084,78.466034"
2022-01-05 09:00:00,44346,21.134748813849104,"17.418744,78.303401"
2022-01-05 09:00:00,27737,17.83056450625131,"17.273959,78.508963"
2022-01-05 09:00:00,18279,53.91331840263328,"17.587943,78.412811"
2022-01-06 09:00:00,50712,43.652989996683914,"17.51014,78.582803"
2022-01-06 09:00:00,25357,29.916109734674194,"17.575905,78.545411"
2022-01-06 09:00:00,22857,46.21184673027215,"17.558032,78.476315"
2022-01-06 09:00:00,71512,42.93047596600995,"17.439226,78.375648"
2022-01-06 09:00:00,32060,18.645816749806524,"17.568853,78.361107"
2022-01-06 09:00:00,15124,57.81621239252615,"17.235403,78.402113"
2022-01-06 09:00:00,65881,42.35001992272163,"17.278412,78.442973"
